image_name,noisy_title,full_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img1.jpg,cheesy bake,"""Preheat the oven to 375°F (190°C). Layer sliced potatoes and cheese in a baking dish. Bake for 25–30 minutes until golden and bubbly. Let it cool slightly before serving.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img2.jpg,noodly thing,"""Boil spaghetti noodles until al dente and drain. In a skillet, sauté chopped garlic, onion, and mixed vegetables in olive oil. Add the drained noodles and marinara sauce, tossing to combine. Cook for a few more minutes and serve hot garnished with Parmesan.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img3.jpg,spicy sunrise stew,"""Heat oil in a large pot and sauté chopped onions, garlic, and ginger until fragrant. Add diced chicken breast and cook until browned. Stir in chopped tomatoes, bell peppers, chili powder, and paprika, then pour in chicken broth. Simmer on low heat for 20 minutes until the stew thickens, then serve warm.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img4.jpg,sweet swirl,"""Preheat oven to 350°F (175°C). In a bowl, mix flour, baking powder, and salt. In another bowl, beat eggs with sugar and melted butter, then fold into the dry ingredients to form a batter. Pour half of the batter into a greased loaf pan, sprinkle cinnamon-sugar mixture, and cover with the remaining batter. Bake for 40 minutes or until a toothpick comes out clean. Cool and slice before serving.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img5.jpg,crunchy planks,"""Preheat the oven to 425°F (220°C). Cut chicken breast into thin strips. Dip each strip in beaten egg, then coat with seasoned breadcrumbs. Place on a baking sheet and bake for 15–20 minutes until golden and crispy. Serve hot with your choice of dipping sauce.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img6.jpg,garlic monster,"""Preheat oven to 375°F (190°C). Slice a baguette in half lengthwise. Mix softened butter with minced garlic and chopped parsley, then spread generously on the cut sides of the bread. Bake for 10 minutes or until toasted and golden. Slice and serve hot.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img7.jpg,tomatoey mush,"""In a pot, heat olive oil and sauté chopped onion and garlic until translucent. Add chopped tomatoes (fresh or canned) and a pinch of sugar, then simmer for 15 minutes until the tomatoes break down. Puree the mixture until smooth, return to heat, and stir in cream or vegetable broth. Simmer for another 5 minutes, season with salt and pepper, and serve hot.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img8.jpg,egg bowl,"""Crack eggs into a bowl, add salt and pepper, and whisk until blended. Heat butter in a nonstick skillet over medium heat, pour in the eggs, and stir gently. Cook until softly scrambled, then transfer to a bowl. Garnish with chopped chives or cheese as desired and serve.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img9.jpg,creamy dream,"""Cook fettuccine until al dente and drain. In the same pot, melt butter and sauté minced garlic briefly. Pour in heavy cream and simmer for 5 minutes on low heat. Stir in grated Parmesan until melted, then toss the pasta in the creamy sauce. Serve immediately.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img10.jpg,herby pesto wonder,"""Cook pasta until al dente, then drain and set aside. In a blender, combine fresh basil leaves, pine nuts (or walnuts), garlic, and grated Parmesan. With the blender running, drizzle in olive oil until a smooth pesto sauce forms. Toss the cooked pasta with the pesto and season with salt and pepper. Serve garnished with cherry tomatoes or extra cheese.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img11.jpg,veggie medley delight,"""Heat oil in a large pan or wok over high heat. Add chopped vegetables (such as bell peppers, carrots, broccoli, and snap peas) and stir-fry for 5 minutes. Add minced ginger and soy sauce (or stir-fry sauce) and cook for another 2 minutes, tossing well. Remove from heat and serve the stir-fried vegetables over rice or noodles.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img12.jpg,berry fluff,"""In a bowl, toss mixed berries (fresh or thawed frozen) with a tablespoon of sugar and let sit for 5 minutes. In another bowl, whip heavy cream with a teaspoon of sugar until soft peaks form. Gently fold the sweetened berries into the whipped cream. Serve the berry cream chilled as a light dessert.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
img130.jpg,Masala mixed mush,"Boil chopped potatoes, peas, cauliflower, and carrots until soft. In a large pan, heat butter and sauté finely chopped onions, ginger, and garlic until golden. Add chopped tomatoes and cook until mushy. Stir in pav bhaji masala, red chili powder, and turmeric. Add the boiled vegetables and mash everything together with a masher. Add water to adjust consistency and simmer for 5–7 minutes. Garnish with fresh coriander and serve hot with butter-toasted pav (bread rolls) and lemon wedges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
